model,split,accuracy,precision,recall,f1_score
TF-IDF + LR,test_known,0.9506726457399103,0.9488372093023256,1.0,0.9737470167064439
TF-IDF + LR,test_novel,0.88,0.875,1.0,0.9333333333333333
TF-IDF + SVM,test_known,0.9775784753363229,0.9901477832512315,0.9852941176470589,0.9877149877149877
TF-IDF + SVM,test_novel,0.96,0.9545454545454546,1.0,0.9767441860465116
DistilBERT,test_known,0.9820627802690582,0.9807692307692307,1.0,0.9902912621359223
DistilBERT,test_novel,0.91,0.9032258064516129,1.0,0.9491525423728814
